pH,DO,BOD,COD,TDS,SS,Turbidity,TC,FC
6.7,5.1,BDL,6.0,55.0,35.0,5.35,1300,780
7.33,6.0,BDL,4.0,65.0,8.0,11.70,2300,1300
6.97,4.9,BDL,6.0,79.0,22.0,5.48,3300,1700
6.94,6.7,BDL,4.0,40.0,29.0,16.22,9200,5400
7.0,5.9,BDL,4.0,55.0,18.0,9.54,7000,2200
7.4,6.2,BDL,4.0,138.0,12.0,7.9,2200,1100
6.91,5.4,BDL,6.0,53.0,15.0,13.60,2200,1300
7.06,6.3,BDL,8.0,41.0,21.0,12.4,3500,2400
7.1,5.7,BDL,10.0,97.0,14.0,11.47,-,-
6.68,5.6,BDL,8.0,74.0,24.0,4.4,1700,780
6.57,6.1,BDL,8.0,46.0,BDL,11.68,1700,1300
6.33,6.0,2.0,6.0,53.0,29.0,15.73,3400,2700
7.1,6.7,2.2,12.0,98.0,11.0,7.95,1700,790
6.58,5.9,BDL,10.0,51.0,12.0,5.16,2100,1300
7.46,5.4,BDL,4.0,38.0,35.0,24.60,2300,1300
7.10,5.2,BDL,6.0,47.0,4.0,13.44,3300,2700
6.4,6.5,BDL,14.0,41.0,9.0,3.94,2400,790
6.53,5.8,BDL,12.0,49.0,11.0,9.05,1700,1100
7.23,6.5,BDL,6.0,34.0,30.0,6.69,2200,1700
6.8,7.5,BDL,8.0,34.0,10.0,5.23,3300,1700
6.8,6.7,2.1,6.0,56.0,12.0,3.18,1100,490
6.35,6.1,BDL,8.0,25.0,25.0,22.5,2300,1300
7.16,6.0,BDL,6.0,38.0,8.0,8.65,2600,2100
6.04,7.0,BDL,6.0,54.0,12.0,5.44,2600,2200
7.2,6.8,BDL,8.0,160.0,19.0,3.96,1300,790
6.56,6.2,BDL,12.0,44.0,13.0,10.25,2100,1700
6.78,7.8,BDL,6.0,120.0,37.0,7.9,3200,2200
6.75,6.6,BDL,4.0,47.0,28.0,13.58,2200,1700
6.8,7.3,2.2,10.0,47.0,55.0,3.33,7000,4900
6.59,6.2,2.5,8.0,51.0,20.0,6.20,3300,1300
7.15,6.8,BDL,BDL,45.0,7.0,5.99,3300,2700
6.16,6.4,BDL,6.0,68.0,17.0,5.45,2500,2100
6.8,5.9,BDL,6.0,487.2,26.0,2.0,4900,3300
7.42,7.0,BDL,8.0,51.0,23.0,6.95,1200,940
6.81,7.5,BDL,4.0,64.0,8.0,5.43,3400,2700
6.48,5.5,BDL,4.0,29.0,11.0,2.91,2100,1700
6.5,6.5,BDL,9.0,52.0,26.0,3.73,9400,4900
6.55,6.1,BDL,10.0,72.0,20.0,6.56,490,330
6.65,5.2,BDL,BDL,63.0,26.0,7.93,3900,2600
6.39,6,BDL,6,31,11,13.02,1700,1300
6.7,4.5,BDL,6.0,53.0,10.0,1.87,4600,3300
7.05,4.4,BDL,8.0,66.0,13.0,5.58,1300,780
6.30,5.5,BDL,12.0,44.0,4.0,8.91,2600,2200
6.51,5.3,BDL,4.0,30.0,8.0,6.19,2100,1700
7.3,5.4,BDL,4.0,138.0,10.0,6.0,3300,1700
6.75,5.8,3.3,8.0,41.0,11.0,4.48,4900,2300
6.50,5.9,BDL,4.0,41.0,10.0,5.47,2300,1300
6.67,4.6,BDL,11.0,24.0,23.0,5.30,3400,2700
