pH,DO,BOD,COD,TDS,SS,Turbidity,TC,FC
7.3,5.7,2.0,-,23977.0,5.0,BDL,49,14
7.10,5.1,BDL,-,28597.0,54.0,2.3,1700,1100
7.35,5.6,BDL,-,22125.0,51.0,5.37,490,170
7.24,4.3,BDL,-,22555.0,8.0,4.27,700,460
7.1,5.0,BDL,-,38701.0,137.0,1.31,78,45
7.30,5.3,BDL,-,33362.0,16.0,6.47,1400,780
6.81,7.1,BDL,-,9374.0,57.0,2.60,700,330
6.6,4.9,BDL,-,23020.0,30.0,5.76,840,330
7.2,7.5,2.3,-,2875.0,10.0,BDL,-,-
6.79,4.5,BDL,-,17154.0,62.0,4.86,1400,930
7.19,5.9,BDL,-,8736.0,61.0,4.72,1700,1300
6.81,4.8,BDL,-,14490.0,14.0,7.13,940,700
6.3,6.5,BDL,-,106.0,38.0,20.4,1100,490
6.60,6.5,BDL,16.0,16.2,12.0,50.0,1400,940
6.45,7.5,BDL,10.0,55.0,16.0,20.09,1300,790
6.65,7.2,BDL,20.0,56.0,9.0,16.70,2200,1300
6.6,6.8,BDL,4.0,45.0,22.0,45.4,1400,450
6.45,7.5,BDL,6.0,83.0,25.0,16.19,1200,940
6.50,7.0,BDL,12.0,81.0,9.0,8.41,1700,1100
6.86,7.4,BDL,BDL,43.0,29.0,20.30,1400,1100
6.8,7.2,BDL,8.0,78.0,7.0,4.84,2200,790
6.68,7.2,BDL,6.0,78.6,11.0,3.75,1200,840
7.20,7.2,BDL,4.0,46.0,5.0,10.17,1300,790
6.58,8.0,BDL,6.0,100.0,40.0,8.88,1700,1400
6.7,8.0,BDL,7.0,139.0,39.0,3.38,1300,790
6.52,6.4,BDL,6.0,91.0,18.0,19.64,1400,1100
5.75,6.0,BDL,8.0,52.0,9.0,39.90,1400,940
7.20,6.6,BDL,6.0,1406.0,8.0,8.33,1400,1100
6.5,6.4,2.5,-,142.0,61.0,3.3,4900,3300
6.88,5.3,BDL,-,5090.0,42.0,4.31,1100,790
7.17,7.3,BDL,-,1800.0,11.0,4.99,1200,940
7.30,6.1,BDL, -,5928.0,18.0,4.20,1700,1300
7.3,5.9,BDL,-,12187.0,47.0,BDL,3300,1700
6.85,6.6,2.5,-,10195.0,58.0,5.30,1700,1100
7.15,6.7,BDL,-,2186.0,8.0,4.58,1100,700
7.20,6.0,BDL, -,8276.0,30.0,4.46,1200,940
7.0,6.0,BDL,-,14975.0,85.0,2.06,4900,2300
6.93,5.8,BDL,-,15330.0,45.0,2.57,1300,790
7.43,6.1,2.0,-,12027.0,44.0,3.99,1400,790
7.40,6.1,BDL, -,11302.0,98.0,3.06,1100,790
7.2,6.1,BDL,-,17810.0,83.0,3.11,3300,1700
7.09,7.1,BDL,-,16546.0,79.0,2.62,3500,1700
7.30,6.3,BDL,-,13434.0,57.0,8.16,1100,790
7.32,6.2,BDL, -,12177.0,83.0,7.98,1400,1100
7.3,5.4,BDL,-,19306.0,103.0,5.45,3300,2300
7.07,5.5,BDL,-,19548.0,20.0,3.56,230,130
7.28,6.0,BDL,-,16408.0,38.0,6.66,790,490
7.42,5.8,BDL, -,374.0,32.0,7.49,490,330
