pH,DO,BOD,COD,TDS,SS,Turbidity,TC,FC
7.2,5.7,BDL,-,7107,18,1.16,790,490
6.74,4,BDL,-,16812,35,3.24,130,78
6.55,4.7,BDL,-,10016,7,5.25,940,700
6.84,5.1,BDL,-,4283,26,2.44,780,450
7.3,5.7,BDL,-,16059,48,6.59,1300,490
7.2,4.7,BDL,-,10016,57,7.55,330,230
6.25,5.2,BDL,-,4636,47,7.18,490,230
6.6,6.5,BDL,-,12059,41,64.4,1700,1300
7.3,5.3,BDL,-,14056,65,8.79,1300,780
6.83,4.5,BDL,8,1383,31,8.48,700,330
7.09,4.5,BDL,-,6455,46,3.66,2300,1300
6.35,4.3,2.2, -,8960,6,2.94,230,130
7.1,7.5,BDL,8,67,20,12.05,2200,1300
6.36,6.6,BDL,8,85.2,18,21.3,780,450
6.8,6.5,BDL,8,102,12,10.06,3300,1700
6.5,7.2,BDL,6,48,80,66.3,2400,1300
6.4,7.3,BDL,6,56,16,3.98,1700,790
6.54,7.6,BDL,8,54,27,11.26,680,400
6.55,7.6,BDL,4,48,4,4.33,2600,1400
7.02,7.4,BDL,10,34,6,15.08,1700,1100
7.6,7.7,BDL,4,152,14,8.12,700,460
6.27,7.3,BDL,6,54,21,9.9,610,400
6.1,6.9,BDL,8,54,6,7.93,2200,1300
6.1,8.1,BDL,6,48,46,3.79,700,490
7.4,8.4,BDL,12,78,10,BDL,2300,1300
6.31,6.6,BDL,8,210,9,6.05,1300,780
6.1,6,BDL,6,51,7,13.11,3400,2200
6.4,6,BDL,6,115,11,27.8,1100,700
6.9,5.5,2.5,-,3754.8,41,6.25,3300,1700
6.8,5.1,BDL,18,4232,6,7.5,1200,680
6.82,5.6,BDL,-,1597,18,2.22,2300,1300
7.58,5.1,BDL, -,2643,15,17.18,1200,940
6.9,7.3,BDL,-,11380,41,3.49,2700,2200
6.42,5.1,2.3,-,3754,13,6.98,3300,1700
6.91,6.3,BDL,-,950,41,3.8,2200,1700
6.61,5.7,BDL, -,1524,31,26.9,1700,1100
6.8,6.1,BDL,-,9272,54,7.85,3300,1300
6.42,4.9,BDL,-,3640,49,6.98,790,230
6.91,7.7,BDL,-,5247,42,7.22,2600,2200
7.1,5.1,BDL, -,5317,64,4.47,2200,1700
7.5,5.7,BDL,-,5571,50,4.5,2700,2200
6.91,5.7,BDL,-,5012,16,6.77,460,330
6.9,5.4,BDL,4,4265,25,11.87,2200,1700
6.9,5.2,BDL, -,4709,71,15.26,2100,1700
7.1,5.7,BDL,-,13334,57,1.55,2200,1300
6.85,5.2,BDL,-,7341,62,4.44,1400,780
6.79,5.8,BDL,-,4260,51,4.63,1300,780
6.97,4.8,BDL, -,11535,43,3.88,1700,1400
